Stop ID,Name,Service Provider Name,Latitude,Longitude,ROUTE ID,Route Name,Line Number,Line Colour,Colour Hex Code
KC04,TAMAN WAHYU,Keretapi Tanah Melayu,3.2145439,101.6721822,KC,Seremban Line,1,Blue,#0000FF
KC03,KAMPUNG BATU,Keretapi Tanah Melayu,3.2047963,101.675646,KC,Seremban Line,1,Blue,#0000FF
KB01,MID VALLEY,Keretapi Tanah Melayu,3.1185282,101.6789854,KB,Seremban Line,1,Blue,#0000FF
KC02,BATU KENTOMEN,Keretapi Tanah Melayu,3.1983357,101.6811632,KC,Seremban Line,1,Blue,#0000FF
KC05,BATU CAVES,Keretapi Tanah Melayu,3.2378874,101.6811872,KC,Seremban Line,1,Blue,#0000FF
KB02,SEPUTEH,Keretapi Tanah Melayu,3.1136966,101.6812992,KB,Seremban Line,1,Blue,#0000FF
KC01,SENTUL,Keretapi Tanah Melayu,3.1823031,101.6887043,KC,Seremban Line,1,Blue,#0000FF
KA04,PUTRA,Keretapi Tanah Melayu,3.165005,101.691234,KA,Seremban Line,1,Blue,#0000FF
KA03,BANK NEGARA,Keretapi Tanah Melayu,3.1545422,101.6930105,KA,Seremban Line,1,Blue,#0000FF
KA02,KUALA LUMPUR,Keretapi Tanah Melayu,3.1395126,101.6937889,KA,Seremban Line,1,Blue,#0000FF
KB03,SALAK SELATAN,Keretapi Tanah Melayu,3.098229,101.7053567,KB,Seremban Line,1,Blue,#0000FF
KB04,BANDAR TASIK SELATAN,Keretapi Tanah Melayu,3.076313,101.711115,KB,Seremban Line,1,Blue,#0000FF
KB05,SERDANG,Keretapi Tanah Melayu,3.0231837,101.7159332,KB,Seremban Line,1,Blue,#0000FF
KB08,BANGI,Keretapi Tanah Melayu,3.024255,101.711018,KB,Seremban Line,1,Blue,#0000FF
KB07,UKM,Keretapi Tanah Melayu,2.9396732,101.7878345,KB,Seremban Line,1,Blue,#0000FF
KB06,KAJANG,Keretapi Tanah Melayu,2.983108,101.7905234,KB,Seremban Line,1,Blue,#0000FF
KB10,NILAI,Keretapi Tanah Melayu,2.802336,101.7998029,KB,Seremban Line,1,Blue,#0000FF
KB11,LABU,Keretapi Tanah Melayu,2.7540314,101.8266068,KB,Seremban Line,1,Blue,#0000FF
KB09,BATANG BENAR,Keretapi Tanah Melayu,2.8303933,101.8268143,KB,Seremban Line,1,Blue,#0000FF
KB12,TIROI,Keretapi Tanah Melayu,2.7413407,101.8719558,KB,Seremban Line,1,Blue,#0000FF
KB13,SEREMBAN,Keretapi Tanah Melayu,2.7188308,101.9404842,KB,Seremban Line,1,Blue,#0000FF
KB14,SENAWANG,Keretapi Tanah Melayu,2.6906203,101.9717709,KB,Seremban Line,1,Blue,#0000FF
KB15,SUNGAI GADUT,Keretapi Tanah Melayu,2.6604935,101.9961253,KB,Seremban Line,1,Blue,#0000FF
KB16,REMBAU,Keretapi Tanah Melayu,2.6604935,101.9961253,KB,Seremban Line,1,Blue,#0000FF
KB17,PULAU SEBANG/TAMPIN,Keretapi Tanah Melayu,2.463626,102.2260987,KB,Seremban Line,1,Blue,#0000FF
KA01,KL SENTRAL,Keretapi Tanah Melayu,3.134603,101.686567,KA,Seremban Line,1,Blue,#0000FF
KD19,PORT KLANG,Keretapi Tanah Melayu,2.999459,101.391373,KD,Port Klang Line,2,Red,#ff0000
KD18,JALAN KASTAM,Keretapi Tanah Melayu,3.013,101.4026,KD,Port Klang Line,2,Red,#ff0000
KD17,KAMPUNG RAJA UDA,Keretapi Tanah Melayu,3.02016,101.41028,KD,Port Klang Line,2,Red,#ff0000
KD16,TELUK GADONG,Keretapi Tanah Melayu,3.03389,101.42491,KD,Port Klang Line,2,Red,#ff0000
KD15,TELUK PULAI,Keretapi Tanah Melayu,3.0408108,101.4321487,KD,Port Klang Line,2,Red,#ff0000
KD14,KLANG,Keretapi Tanah Melayu,3.059611,101.613235,KD,Port Klang Line,2,Red,#ff0000
KD13,BUKIT BADAK,Keretapi Tanah Melayu,3.0359966,101.470249,KD,Port Klang Line,2,Red,#ff0000
KD12,PADANG JAWA,Keretapi Tanah Melayu,3.0523254,101.4927002,KD,Port Klang Line,2,Red,#ff0000
KA15,TANJUNG MALIM,Keretapi Tanah Melayu,3.6847038,101.5182181,KA,Port Klang Line,2,Red,#ff0000
KD11,SHAH ALAM,Keretapi Tanah Melayu,3.0564286,101.5251133,KD,Port Klang Line,2,Red,#ff0000
KA09,KUANG,Keretapi Tanah Melayu,3.25826,101.55473,KA,Port Klang Line,2,Red,#ff0000
KD10,BATU TIGA,Keretapi Tanah Melayu,3.084048,101.658221,KD,Port Klang Line,2,Red,#ff0000
KA10,RAWANG,Keretapi Tanah Melayu,3.31885,101.57498,KA,Port Klang Line,2,Red,#ff0000
KA08,SUNGAI BULOH,Keretapi Tanah Melayu,3.199906,101.596992,KA,Port Klang Line,2,Red,#ff0000
KD09,SUBANG JAYA,Keretapi Tanah Melayu,3.08466,101.588127,KD,Port Klang Line,2,Red,#ff0000
KD08,SETIA JAYA,Keretapi Tanah Melayu,3.0831687,101.6114441,KD,Port Klang Line,2,Red,#ff0000
KA11,SERENDAH,Keretapi Tanah Melayu,3.3760667,101.6144481,KA,Port Klang Line,2,Red,#ff0000
KD07,SERI SETIA,Keretapi Tanah Melayu,3.0845398,101.6218982,KD,Port Klang Line,2,Red,#ff0000
KA07,KEPONG SENTRAL,Keretapi Tanah Melayu,3.2086928,101.6285123,KA,Port Klang Line,2,Red,#ff0000
KD06,KAMPUNG DATO HARUN,Keretapi Tanah Melayu,3.084461,101.6322709,KD,Port Klang Line,2,Red,#ff0000
KA13,RASA,Keretapi Tanah Melayu,3.5003142,101.6341973,KA,Port Klang Line,2,Red,#ff0000
KA06,KEPONG,Keretapi Tanah Melayu,3.20281,101.6374,KA,Port Klang Line,2,Red,#ff0000
KA12,BATANG KALI,Keretapi Tanah Melayu,3.4683857,101.6377519,KA,Port Klang Line,2,Red,#ff0000
