Alpha-numeric code(s),Station name English • Malay,Opening,Name(s) during planning stages,Abbreviation,Interchange; Adjacent transportation,Route Code
NS1,Jurong East,10-Mar-90,Jurong East,JUR,East–West Line —  Jurong East,NSL
NS2,Bukit Batok,10-Mar-90,Bukit Batok South,BBT,Bukit Batok,NSL
NS3,Bukit Gombak,10-Mar-90,Bukit Batok North,BGB,—,NSL
NS4 ,Choa Chu Kang,10-Mar-90,Choa Chu Kang,CCK,Bukit Panjang LRT —  Choa Chu Kang,NSL
NS5,Yew Tee,10-Feb-96,Choa Chu Kang North,YWT,—,NSL
NS7,Kranji,10-Feb-96,Kranji,KRJ,—,NSL
NS8,Marsiling,10-Feb-96,Woodlands West,MSL,—,NSL
NS9,Woodlands,10-Feb-96,Woodlands Central,WDL,Thomson–East Coast Line —  Woodlands  Woodlands Temporary,NSL
NS10,Admiralty,10-Feb-96,Woodlands East,ADM,—,NSL
NS11,Sembawang,10-Feb-96,Sembawang,SBW,Sembawang,NSL
NS12,Canberra,02-Nov-19,Canberra,CBR,—,NSL
NS13,Yishun,20-Dec-88,Nee Soon North,YIS,Yishun,NSL
NS14,Khatib,20-Dec-88,Nee Soon South,KTB,—,NSL
NS15,Yio Chu Kang,07-Nov-87,Yio Chu Kang,YCK,Yio Chu Kang,NSL
NS16,Ang Mo Kio,07-Nov-87,Ang Mo Kio,AMK,Ang Mo Kio,NSL
NS17,Bishan,07-Nov-87,"Kampong San Teng, San Teng",BSH,Circle Line —  Bishan,NSL
NS18,Braddell,07-Nov-87,Braddell,BDL,—,NSL
NS19,Toa Payoh,07-Nov-87,Toa Payoh,TAP,Toa Payoh,NSL
NS20,Novena,12-Dec-87,Thomson,NOV,—,NSL
NS21,Newton,12-Dec-87,Newton Circus,NEW,Downtown Line,NSL
NS22,Orchard,12-Dec-87,"Scotts, Orchard Boulevard",ORC,Thomson–East Coast Line,NSL
NS23,Somerset,12-Dec-87,Killiney,SOM,—,NSL
NS24,Dhoby Ghaut,12-Dec-87,Dhoby Ghaut,DBG,North East Line Circle Line,NSL
NS25,City Hall,12-Dec-87,Saint Andrew's,CTH,East–West Line,NSL
NS26,Raffles Place,12-Dec-87,Central,RFP,East–West Line,NSL
NS27,Marina Bay,04-Nov-89,"Telok Ayer Basin, Marina South",MRB,Circle Line Extension Thomson–East Coast Line,NSL
NS28,Marina South Pier,23-Nov-14,"Marina View, Marina Pier",MSP,Marina South Pier Marina Bay Cruise Centre,NSL
EW1,Pasir Ris,16-Dec-89,Pasir Ris,PSR,Pasir Ris,EWL
EW2,Tampines,16-Dec-89,Tampines North,TAM,Downtown Line —  Tampines  Tampines Concourse,EWL
EW3,Simei,16-Dec-89,Tampines South,SIM,—,EWL
EW4,Tanah Merah,04-Nov-89,"Bedok, Changi",TNM,EWL Changi Airport Branch Line,EWL
EW5,Bedok,04-Nov-89,Chai Chee,BDK,Bedok,EWL
EW6,Kembangan,04-Nov-89,Frankel,KEM,—,EWL
EW7,Eunos,04-Nov-89,Eunos,EUN,Eunos,EWL
EW8,Paya Lebar,04-Nov-89,Paya Lebar,PYL,Circle Line,EWL
EW9,Aljunied,04-Nov-89,Aljunied,ALJ,—,EWL
EW10,Kallang,04-Nov-89,Geylang,KAL,Lorong 1 Geylang,EWL
EW11,Lavender,04-Nov-89,Crawford,LVR,—,EWL
EW12,Bugis,04-Nov-89,"Rochore, Victoria",BGS,Downtown Line,EWL
EW13,City Hall,12-Dec-87,Saint Andrew's,CTH,North–South Line,EWL
EW14,Raffles Place,12-Dec-87,Central,RFP,North–South Line,EWL
EW15,Tanjong Pagar,12-Dec-87,Maxwell,TPG,Shenton Way,EWL
EW16,Outram Park,12-Dec-87,Outram Park,OTP,North East Line Thomson–East Coast Line —  Kampong Bahru,EWL
EW17,Tiong Bahru,12-Mar-88,Tiong Bahru,TIB,Tiong Bahru,EWL
EW18,Redhill,12-Mar-88,Alexandra,RDH,—,EWL
EW19,Queenstown,12-Mar-88,"Princess, Commonwealth",QUE,—,EWL
EW20,Commonwealth,12-Mar-88,Queenstown,COM,—,EWL
EW21,Buona Vista,12-Mar-88,North Buona Vista,BNV,Circle Line —  Buona Vista  Ghim Moh,EWL
EW22,Dover,18-Oct-01,Polytechnic,DVR,—,EWL
EW23,Clementi,12-Mar-88,Clementi,CLE,Clementi,EWL
EW24,Jurong East,05-Nov-88,"Jurong, Jurong Town",JUR,North–South Line —  Jurong East,EWL
EW25,Chinese Garden,05-Nov-88,Jurong Lake,CNG,—,EWL
EW26,Lakeside,05-Nov-88,Corporation,LKS,—,EWL
EW27,Boon Lay,06-Jul-90,Jurong West,BNL,Boon Lay,EWL
EW28,Pioneer,28-Feb-09,Pioneer,PNR,—,EWL
EW29,Joo Koon,28-Feb-09,Joo Koon,JKN,Joo Koon,EWL
EW30,Gul Circle,18-Jun-17,Tuas,GCL,—,EWL
EW31,Tuas Crescent,18-Jun-17,Tuas Crescent,TCR,—,EWL
EW32,Tuas West Road,18-Jun-17,Tuas West,TWR,—,EWL
EW33,Tuas Link,18-Jun-17,Tuas Link,TLK,Tuas —  Tuas Checkpoint,EWL
