Name,Stop ID,Service Provider Name,Latitude,Longitude,ROUTE ID,Route Name,Line Number,Line Colour,Colour Hex Code,City
SENTUL TIMUR,AG1,Rapid KL,3.185821,101.695335,AG,Ampang Line,3,Orange,#fe8e10,Kuala Lumpur
PUDU,AG10,Rapid KL,3.134920,101.712011,AG,Ampang Line,3,Orange,#fe8e10,Kuala Lumpur
CHAN SOW LIN,AG11,Rapid KL,3.128025,101.715546,AG,Ampang Line,3,Orange,#fe8e10,Kuala Lumpur
MIHARJA,AG12,Rapid KL,3.120931,101.717861,AG,Ampang Line,3,Orange,#fe8e10,Kuala Lumpur
MALURI,AG13,Rapid KL,3.123276,101.726946,AG,Ampang Line,3,Orange,#fe8e10,Kuala Lumpur
PANDAN JAYA,AG14,Rapid KL,3.130258,101.738991,AG,Ampang Line,3,Orange,#fe8e10,Kuala Lumpur
PANDAN INDAH,AG15,Rapid KL,3.134827,101.746748,AG,Ampang Line,3,Orange,#fe8e10,Kuala Lumpur
CEMPAKA,AG16,Rapid KL,3.138458,101.752945,AG,Ampang Line,3,Orange,#fe8e10,Kuala Lumpur
CAHAYA,AG17,Rapid KL,3.140643,101.756607,AG,Ampang Line,3,Orange,#fe8e10,Kuala Lumpur
AMPANG,AG18,Rapid KL,3.150512,101.760127,AG,Ampang Line,3,Orange,#fe8e10,Kuala Lumpur
SENTUL,AG2,Rapid KL,3.178591,101.695510,AG,Ampang Line,3,Orange,#fe8e10,Kuala Lumpur
TITIWANGSA,AG3,Rapid KL,3.173591,101.695273,AG,Ampang Line,3,Orange,#fe8e10,Kuala Lumpur
PWTC,AG4,Rapid KL,3.166563,101.693594,AG,Ampang Line,3,Orange,#fe8e10,Kuala Lumpur
SULTAN ISMAIL,AG5,Rapid KL,3.161185,101.694127,AG,Ampang Line,3,Orange,#fe8e10,Kuala Lumpur
BANDARAYA,AG6,Rapid KL,3.155548,101.694406,AG,Ampang Line,3,Orange,#fe8e10,Kuala Lumpur
MASJID JAMEK,AG7,Rapid KL,3.149462,101.696396,AG,Ampang Line,3,Orange,#fe8e10,Kuala Lumpur
PLAZA RAKYAT,AG8,Rapid KL,3.144264,101.702054,AG,Ampang Line,3,Orange,#fe8e10,Kuala Lumpur
HANG TUAH,AG9,Rapid KL,3.139843,101.706133,AG,Ampang Line,3,Orange,#fe8e10,Kuala Lumpur
KL SENTRAL,KA01,Keretapi Tanah Melayu,3.134603,101.686567,KA,Seremban Line,1,Blue,#0000FF,Kuala Lumpur
KL SENTRAL,KA01,Keretapi Tanah Melayu,3.134603,101.686567,KA,Port Klang Line,2,Red,#ff0000,Kuala Lumpur
KUALA LUMPUR,KA02,Keretapi Tanah Melayu,3.1395126,101.6937889,KA,Seremban Line,1,Blue,#0000FF,Kuala Lumpur
KUALA LUMPUR,KA02,Keretapi Tanah Melayu,3.1395804,101.693629,KA,Port Klang Line,2,Red,#ff0000,Kuala Lumpur
BANK NEGARA,KA03,Keretapi Tanah Melayu,3.1545422,101.6930105,KA,Seremban Line,1,Blue,#0000FF,Kuala Lumpur
BANK NEGARA,KA03,Keretapi Tanah Melayu,3.1545691,101.6929903,KA,Port Klang Line,2,Red,#ff0000,Kuala Lumpur
PUTRA,KA04,Keretapi Tanah Melayu,3.165005,101.691234,KA,Seremban Line,1,Blue,#0000FF,Kuala Lumpur
PUTRA,KA04,Keretapi Tanah Melayu,3.165005,101.691234,KA,Port Klang Line,2,Red,#ff0000,Kuala Lumpur
SEGAMBUT,KA05,Keretapi Tanah Melayu,3.1864391,101.6642105,KA,Port Klang Line,2,Red,#ff0000,Kuala Lumpur
KEPONG,KA06,Keretapi Tanah Melayu,3.202810,101.6374,KA,Port Klang Line,2,Red,#ff0000,Kuala Lumpur
KEPONG SENTRAL,KA07,Keretapi Tanah Melayu,3.2086928,101.6285123,KA,Port Klang Line,2,Red,#ff0000,Kuala Lumpur
SUNGAI BULOH,KA08,Keretapi Tanah Melayu,3.206204,101.580781,KA,Port Klang Line,2,Red,#ff0000,Kuala Lumpur
KUANG,KA09,Keretapi Tanah Melayu,3.258260,101.55473,KA,Port Klang Line,2,Red,#ff0000,Kuala Lumpur
