OBJECTID,Name,STN_NO,X,Y,Latitude,Longitude,Line Colour,Colour Hex Code,Route Name,Route Code,City
1,Eunos MRT Station,EW7,35782.9553,33560.0776,1.319778952,103.9032339,GREEN,#009530,East West Line,EWL,Singapore
2,Chinese Garden MRT Station,EW25,16790.7466,36056.3019,1.342352821,103.7326244,GREEN,#009530,East West Line,EWL,Singapore
3,Khatib MRT Station,NS14,27962.3108,44352.568,1.41738337,103.83298,RED,#dc241f,North South Line,NSL,Singapore
4,Kranji MRT Station,NS7,20081.6974,45214.5479,1.425177699,103.7621874,RED,#dc241f,North South Line,NSL,Singapore
5,Redhill MRT Station,EW18,26163.478,30218.8196,1.289562726,103.8168209,GREEN,#009530,East West Line,EWL,Singapore
6,Yew Tee MRT Station,NS5,18438.9791,42158.0124,1.397535018,103.7474307,RED,#dc241f,North South Line,NSL,Singapore
7,Pioneer MRT Station,EW28,12864.9592,35529.4973,1.337586882,103.6973586,GREEN,#009530,East West Line,EWL,Singapore
8,Commonwealth MRT Station,EW20,24103.2523,31642.6034,1.302438735,103.7983136,GREEN,#009530,East West Line,EWL,Singapore
9,Paya Lebar MRT Station,EW8,34648.6773,33375.7341,1.318112082,103.8930446,GREEN,#009530,East West Line,EWL,Singapore
10,Simei MRT Station,EW3,41360.6138,36150.3959,1.343202895,103.9533387,GREEN,#009530,East West Line,EWL,Singapore
11,Tampines MRT Station,EW2,40445.4297,37266.9909,1.353301356,103.9451175,GREEN,#009530,East West Line,EWL,Singapore
12,Admiralty MRT Station,NS10,24402.1063,46918.1131,1.440585001,103.8009982,RED,#dc241f,North South Line,NSL,Singapore
13,Yishun MRT Station,NS13,28187.6787,45686.0701,1.429443081,103.8350045,RED,#dc241f,North South Line,NSL,Singapore
14,Pasir Ris MRT Station,EW1,40903.7716,39443.3983,1.372983774,103.9492348,GREEN,#009530,East West Line,EWL,Singapore
15,Clementi MRT Station,EW23,20430.06,33026.6075,1.314954492,103.7653168,GREEN,#009530,East West Line,EWL,Singapore
16,Aljunied MRT Station,EW9,33518.6049,33190.002,1.316432612,103.882893,GREEN,#009530,East West Line,EWL,Singapore
18,Expo MRT Station,CG1,42270.6232,35193.6223,1.334549778,103.9615134,GREEN,#009530,Changi Airport Branch Line,CAL,Singapore
19,Choa Chu Kang MRT Station,NS4,18097.9271,40811.9589,1.385361693,103.744367,RED,#dc241f,North South Line,NSL,Singapore
20,Jurong East MRT Station,EW24,17869.0806,35038.9472,1.33315262,103.7423112,GREEN,#009530,East West Line,EWL,Singapore
20,Jurong East MRT Station,NS1,17869.0806,35038.9472,1.33315262,103.7423112,RED,#dc241f,North South Line,NSL,Singapore
21,Queenstown MRT Station,EW19,24946.8083,30804.6785,1.294860933,103.8058913,GREEN,#009530,East West Line,EWL,Singapore
22,Tuas Link MRT Station,EW33,6138.3115,35848.0658,1.340463766,103.6369324,GREEN,#009530,East West Line,EWL,Singapore
23,Gul Circle MRT Station,EW30,8772.8552,33530.3675,1.319505215,103.6605988,GREEN,#009530,East West Line,EWL,Singapore
24,Woodlands MRT Station,NS9,22788.1527,46507.9219,1.436875128,103.7864999,RED,#dc241f,North South Line,NSL,Singapore
25,Tuas Crescent MRT Station,EW31,7495.531,33698.6818,1.321026553,103.6491245,GREEN,#009530,East West Line,EWL,Singapore
26,Kallang MRT Station,EW10,32236.6038,32643.3302,1.31148891,103.8713766,GREEN,#009530,East West Line,EWL,Singapore
27,Tuas West Road MRT Station,EW32,6442.6401,34689.7988,1.329989089,103.6396662,GREEN,#009530,East West Line,EWL,Singapore
28,Buona Vista MRT Station,EW21,23200.36,32167.2655,1.307183467,103.7902028,GREEN,#009530,East West Line,EWL,Singapore
29,Dover MRT Station,EW22,21914.5509,32634.1186,1.311405293,103.7786522,GREEN,#009530,East West Line,EWL,Singapore
30,Sembawang MRT Station,NS11,26522.9883,47854.1998,1.449050821,103.8200504,RED,#dc241f,North South Line,NSL,Singapore
31,Kembangan MRT Station,EW6,36862.1237,33699.3568,1.321038249,103.9129282,GREEN,#009530,East West Line,EWL,Singapore
32,Bukit Batok MRT Station,NS2,18679.3541,36795.0141,1.349034109,103.74959,RED,#dc241f,North South Line,NSL,Singapore
33,Ang Mo Kio MRT Station,NS16,29807.2655,39105.772,1.369933175,103.8495535,RED,#dc241f,North South Line,NSL,Singapore
